Title,Authors,Published,URL,Summary
Quantum Approximate Optimization Algorithms for Maximum Cut on Low-Girth Graphs,"Tongyang Li, Yuexin Su, Ziyi Yang, Shengyu Zhang",2024-10-06,http://arxiv.org/abs/2410.04409v2,"Maximum cut (MaxCut) on graphs is a classic NP-hard problem. In quantum computing, Farhi, Gutmann, and Goldstone proposed the Quantum Approximate Optimization Algorithm (QAOA) for solving the MaxCut problem. Its guarantee on cut fraction (the fraction of edges in the output cut over all edges) was mainly studied for high-girth graphs, i.e., graphs with only long cycles. On the other hand, low-girth graphs are ubiquitous in theoretical computer science, including expander graphs being outstanding..."
"QAOAKit: A Toolkit for Reproducible Study, Application, and Verification of the QAOA","Ruslan Shaydulin, Kunal Marwaha, Jonathan Wurtz, Phillip C. Lotshaw",2021-10-11,http://arxiv.org/abs/2110.05555v3,"Understanding the best known parameters, performance, and systematic behavior of the Quantum Approximate Optimization Algorithm (QAOA) remain open research questions, even as the algorithm gains popularity. We introduce QAOAKit, a Python toolkit for the QAOA built for exploratory research. QAOAKit is a unified repository of preoptimized QAOA parameters and circuit generators for common quantum simulation frameworks. We combine, standardize, and cross-validate previously known parameters for the ..."
Proactively incremental-learning QAOA,"Lingxiao Li, Jing Li, Yanqi Song, Sujuan Qin, Qiaoyan Wen, Fei Gao",2023-11-04,http://arxiv.org/abs/2311.02302v1,"Solving optimization problems with high performance is the target of existing works of Quantum Approximate Optimization Algorithm (QAOA). With this intention, we propose an advanced QAOA based on incremental learning, where the training trajectory is proactively segmented into incremental phases. Taking the MaxCut problem as our example, we randomly select a small subgraph from the whole graph and train the quantum circuit to get optimized parameters for the MaxCut of the subgraph in the first p..."
Quantum Deep Dreaming: A Novel Approach for Quantum Circuit Design,Romi Lifshitz,2022-11-05,http://arxiv.org/abs/2211.04343v1,"One of the challenges currently facing the quantum computing community is the design of quantum circuits which can efficiently run on near-term quantum computers, known as the quantum compiling problem. Algorithms such as the Variational Quantum Eigensolver (VQE), Quantum Approximate Optimization Algorithm (QAOA), and Quantum Architecture Search (QAS) have been shown to generate or find optimal near-term quantum circuits. However, these methods are computationally expensive and yield little insi..."
Meta-Learning Digitized-Counterdiabatic Quantum Optimization,"Pranav Chandarana, Pablo S. Vieites, Narendra N. Hegade, Enrique Solano, Yue Ban, Xi Chen",2022-06-20,http://arxiv.org/abs/2206.09966v1,"Solving optimization tasks using variational quantum algorithms has emerged as a crucial application of the current noisy intermediate-scale quantum devices. However, these algorithms face several difficulties like finding suitable ansatz and appropriate initial parameters, among others. In this work, we tackle the problem of finding suitable initial parameters for variational optimization by employing a meta-learning technique using recurrent neural networks. We investigate this technique with ..."
Counterdiabaticity and the quantum approximate optimization algorithm,"Jonathan Wurtz, Peter J. Love",2021-06-29,http://arxiv.org/abs/2106.15645v3,"The quantum approximate optimization algorithm (QAOA) is a near-term hybrid algorithm intended to solve combinatorial optimization problems, such as MaxCut. QAOA can be made to mimic an adiabatic schedule, and in the $p\to\infty$ limit the final state is an exact maximal eigenstate in accordance with the adiabatic theorem. In this work, the connection between QAOA and adiabaticity is made explicit by inspecting the regime of $p$ large but finite. By connecting QAOA to counterdiabatic (CD) evolut..."
Lyapunov control-inspired strategies for quantum combinatorial optimization,"Alicia B. Magann, Kenneth M. Rudinger, Matthew D. Grace, Mohan Sarovar",2021-08-12,http://arxiv.org/abs/2108.05945v2,"The prospect of using quantum computers to solve combinatorial optimization problems via the quantum approximate optimization algorithm (QAOA) has attracted considerable interest in recent years. However, a key limitation associated with QAOA is the need to classically optimize over a set of quantum circuit parameters. This classical optimization can have significant associated costs and challenges. Here, we provide an expanded description of Lyapunov control-inspired strategies for quantum opti..."
Filtering variational quantum algorithms for combinatorial optimization,"David Amaro, Carlo Modica, Matthias Rosenkranz, Mattia Fiorentini, Marcello Benedetti, Michael Lubasch",2021-06-18,http://arxiv.org/abs/2106.10055v3,"Current gate-based quantum computers have the potential to provide a computational advantage if algorithms use quantum hardware efficiently. To make combinatorial optimization more efficient, we introduce the Filtering Variational Quantum Eigensolver (F-VQE) which utilizes filtering operators to achieve faster and more reliable convergence to the optimal solution. Additionally we explore the use of causal cones to reduce the number of qubits required on a quantum computer. Using random weighted ..."
A quantum algorithm to count weighted ground states of classical spin Hamiltonians,"Bhuvanesh Sundar, Roger Paredes, David T. Damanik, Leonardo Dueñas-Osorio, Kaden R. A. Hazzard",2019-08-05,http://arxiv.org/abs/1908.01745v1,"Ground state counting plays an important role in several applications in science and engineering, from estimating residual entropy in physical systems, to bounding engineering reliability and solving combinatorial counting problems. While quantum algorithms such as adiabatic quantum optimization (AQO) and quantum approximate optimization (QAOA) can minimize Hamiltonians, they are inadequate for counting ground states. We modify AQO and QAOA to count the ground states of arbitrary classical spin ..."
An investigation of IBM Quantum Computing device performance on Combinatorial Optimisation Problems,"Maxine T. Khumalo, Hazel A. Chieza, Krupa Prag, Matthew Woolway",2021-07-08,http://arxiv.org/abs/2107.03638v3,"The intractability of deterministic solutions in solving $\mathcal{NP}$-Hard Combinatorial Optimisation Problems (COP) is well reported in the literature. One mechanism for overcoming this difficulty has been the use of efficient COP non-deterministic approaches. However, with the advent of quantum technology, these modern devices' potential to overcome this tractability limitation requires exploration. This paper juxtaposes classical and quantum optimisation algorithms' performance to solve two..."
Transfer learning of optimal QAOA parameters in combinatorial optimization,"J. A. Montanez-Barrera, Dennis Willsch, Kristel Michielsen",2024-02-08,http://arxiv.org/abs/2402.05549v1,"Solving combinatorial optimization problems (COPs) is a promising application of quantum computation, with the Quantum Approximate Optimization Algorithm (QAOA) being one of the most studied quantum algorithms for solving them. However, multiple factors make the parameter search of the QAOA a hard optimization problem. In this work, we study transfer learning (TL), a methodology to reuse pre-trained QAOA parameters of one problem instance into different COP instances. To this end, we select smal..."
An Analysis of the Quantum Approximation Optimisation Algorithm,Behzad Mansouri,2021-03-23,http://arxiv.org/abs/2103.12791v1,"This article consists of a short introduction to the quantum approximation optimisation algorithm (QAOA). The mathematical structure of the QAOA, as well as its basic properties, are described. The implementation of the QAOA on MaxCut problems, quadratic unconstrained binary optimisation problems (QUBOs), and Ising-type Hamiltonians is considered in detail...."
Non-Variational Quantum Random Access Optimization with Alternating Operator Ansatz,"Zichang He, Rudy Raymond, Ruslan Shaydulin, Marco Pistoia",2025-02-06,http://arxiv.org/abs/2502.04277v1,"Solving hard optimization problems is one of the most promising application domains for quantum computers due to the ubiquity of such problems in industry and the availability of broadly applicable quantum speedups. However, the ability of near-term quantum computers to tackle industrial-scale optimization problems is limited by their size and the overheads of quantum error correction. Quantum Random Access Optimization (QRAO) has been proposed to reduce the space requirements of quantum optimiz..."
Solving the Traveling Salesman Problem via Different Quantum Computing Architectures,"Venkat Padmasola, Zhaotong Li, Rupak Chatterjee, Wesley Dyk",2025-02-24,http://arxiv.org/abs/2502.17725v2,"We study the application of emerging photonic and quantum computing architectures to solving the Traveling Salesman Problem (TSP), a well-known NP-hard optimization problem. We investigate several approaches: Simulated Annealing (SA), Quadratic Unconstrained Binary Optimization (QUBO-Ising) methods implemented on quantum annealers and Optical Coherent Ising Machines, as well as the Quantum Approximate Optimization Algorithm (QAOA) and the Quantum Phase Estimation (QPE) algorithm on gate-based qu..."
Constrained Quantum Optimization for Extractive Summarization on a Trapped-ion Quantum Computer,"Pradeep Niroula, Ruslan Shaydulin, Romina Yalovetzky, Pierre Minssen, Dylan Herman, Shaohan Hu, Marco Pistoia",2022-06-13,http://arxiv.org/abs/2206.06290v2,"Realizing the potential of near-term quantum computers to solve industry-relevant constrained-optimization problems is a promising path to quantum advantage. In this work, we consider the extractive summarization constrained-optimization problem and demonstrate the largest-to-date execution of a quantum optimization algorithm that natively preserves constraints on quantum hardware. We report results with the Quantum Alternating Operator Ansatz algorithm with a Hamming-weight-preserving XY mixer ..."
Improving Quantum Approximate Optimization by Noise-Directed Adaptive Remapping,"Filip B. Maciejewski, Jacob Biamonte, Stuart Hadfield, Davide Venturelli",2024-04-01,http://arxiv.org/abs/2404.01412v2,"We present Noise-Directed Adaptive Remapping (NDAR), a heuristic algorithm for approximately solving binary optimization problems by leveraging certain types of noise. We consider access to a noisy quantum processor with dynamics that features a global attractor state. In a standard setting, such noise can be detrimental to the quantum optimization performance. Our algorithm bootstraps the noise attractor state by iteratively gauge-transforming the cost-function Hamiltonian in a way that transfo..."
Evidence that PUBO outperforms QUBO when solving continuous optimization problems with the QAOA,"Jonas Stein, Farbod Chamanian, Maximilian Zorn, Jonas Nüßlein, Sebastian Zielinski, Michael Kölle, Claudia Linnhoff-Popien",2023-05-05,http://arxiv.org/abs/2305.03390v1,"Quantum computing provides powerful algorithmic tools that have been shown to outperform established classical solvers in specific optimization tasks. A core step in solving optimization problems with known quantum algorithms such as the Quantum Approximate Optimization Algorithm (QAOA) is the problem formulation. While quantum optimization has historically centered around Quadratic Unconstrained Optimization (QUBO) problems, recent studies show, that many combinatorial problems such as the TSP ..."
Warm-starting quantum optimization,"Daniel J. Egger, Jakub Marecek, Stefan Woerner",2020-09-21,http://arxiv.org/abs/2009.10095v4,"There is an increasing interest in quantum algorithms for problems of integer programming and combinatorial optimization. Classical solvers for such problems employ relaxations, which replace binary variables with continuous ones, for instance in the form of higher-dimensional matrix-valued problems (semidefinite programming). Under the Unique Games Conjecture, these relaxations often provide the best performance ratios available classically in polynomial time. Here, we discuss how to warm-start..."
Hierarchical Multigrid Ansatz for Variational Quantum Algorithms,"Christo Meriwether Keller, Stephan Eidenbenz, Andreas Bärtschi, Daniel O'Malley, John Golden, Satyajayant Misra",2023-12-22,http://arxiv.org/abs/2312.15048v2,"Quantum computing is an emerging topic in engineering that promises to enhance supercomputing using fundamental physics. In the near term, the best candidate algorithms for achieving this advantage are variational quantum algorithms (VQAs). We design and numerically evaluate a novel ansatz for VQAs, focusing in particular on the variational quantum eigensolver (VQE). As our ansatz is inspired by classical multigrid hierarchy methods, we call it ""multigrid"" ansatz. The multigrid ansatz creates a ..."
On the Effects of Small Graph Perturbations in the MaxCut Problem by QAOA,"Leonardo Lavagna, Simone Piperno, Andrea Ceschini, Massimo Panella",2024-08-27,http://arxiv.org/abs/2408.15413v2,"We investigate the Maximum Cut (MaxCut) problem on different graph classes with the Quantum Approximate Optimization Algorithm (QAOA) using symmetries. In particular, heuristics on the relationship between graph symmetries and the approximation ratio achieved by a QAOA simulation are considered. To do so, we first solve the MaxCut problem on well-known graphs, then we consider a simple and controllable perturbation of the graph and find again the approximate MaxCut with the QAOA. Through an anal..."
QAOA-in-QAOA: solving large-scale MaxCut problems on small quantum machines,"Zeqiao Zhou, Yuxuan Du, Xinmei Tian, Dacheng Tao",2022-05-24,http://arxiv.org/abs/2205.11762v1,"The design of fast algorithms for combinatorial optimization greatly contributes to a plethora of domains such as logistics, finance, and chemistry. Quantum approximate optimization algorithms (QAOAs), which utilize the power of quantum machines and inherit the spirit of adiabatic evolution, are novel approaches to tackle combinatorial problems with potential runtime speedups. However, hurdled by the limited quantum resources nowadays, QAOAs are infeasible to manipulate large-scale problems. To ..."
Impact of Graph Structures for QAOA on MaxCut,"Rebekah Herrman, Lorna Treffert, James Ostrowski, Phillip C. Lotshaw, Travis S. Humble, George Siopsis",2021-02-11,http://arxiv.org/abs/2102.05997v1,"The quantum approximate optimization algorithm (QAOA) is a promising method of solving combinatorial optimization problems using quantum computing. QAOA on the MaxCut problem has been studied extensively on specific families of graphs, however, little is known about the algorithm on arbitrary graphs. We evaluate the performance of QAOA at depths at most three on the MaxCut problem for all connected non-isomorphic graphs with at most eight vertices and analyze how graph structure affects QAOA per..."
Hybrid Classical-Quantum Simulation of MaxCut using QAOA-in-QAOA,"Aniello Esposito, Tamuz Danzig",2024-06-25,http://arxiv.org/abs/2406.17383v2,"The Quantum approximate optimization algorithm (QAOA) is a leading hybrid classical-quantum algorithm for solving complex combinatorial optimization problems. QAOA-in-QAOA (QAOA^2) uses a divide-and-conquer heuristic to solve large-scale Maximum Cut (MaxCut) problems, where many subgraph problems can be solved in parallel. In this work, an implementation of the QAOA2 method for the scalable solution of the MaxCut problem is presented, based on the Classiq platform. The framework is executed on a..."
"Quantum Approximate Optimization Algorithm: Performance, Mechanism, and Implementation on Near-Term Devices","Leo Zhou, Sheng-Tao Wang, Soonwon Choi, Hannes Pichler, Mikhail D. Lukin",2018-12-03,http://arxiv.org/abs/1812.01041v2,"The Quantum Approximate Optimization Algorithm (QAOA) is a hybrid quantum-classical variational algorithm designed to tackle combinatorial optimization problems. Despite its promise for near-term quantum applications, not much is currently understood about QAOA's performance beyond its lowest-depth variant. An essential but missing ingredient for understanding and deploying QAOA is a constructive approach to carry out the outer-loop classical optimization. We provide an in-depth study of the per..."
Quantum Machine Learning Tensor Network States,"Andrey Kardashin, Alexey Uvarov, Jacob Biamonte",2018-04-06,http://arxiv.org/abs/1804.02398v4,Tensor network algorithms seek to minimize correlations to compress the classical data representing quantum states. Tensor network algorithms and similar tools---called tensor network methods---form the backbone of modern numerical methods used to simulate many-body physics and have a further range of applications in machine learning. Finding and contracting tensor network states is a computational task which quantum computers might be used to accelerate. We present a quantum algorithm which ret...
Classical optimization with imaginary time block encoding on quantum computers: The MaxCut problem,"Dawei Zhong, Akhil Francis, Ermal Rrapaj",2024-11-16,http://arxiv.org/abs/2411.10737v1,"Finding ground state solutions of diagonal Hamiltonians is relevant for both theoretical as well as practical problems of interest in many domains such as finance, physics and computer science. These problems are typically very hard to tackle by classical computing and quantum computing could help in speeding up computations and efficiently tackling larger problems. Here we use imaginary time evolution through a new block encoding scheme to obtain the ground state of such problems and apply our ..."
Imaginary Hamiltonian variational ansatz for combinatorial optimization problems,"Xiaoyang Wang, Yahui Chai, Xu Feng, Yibin Guo, Karl Jansen, Cenk Tüysüz",2024-08-17,http://arxiv.org/abs/2408.09083v2,"Obtaining exact solutions to combinatorial optimization problems using classical computing is computationally expensive. The current tenet in the field is that quantum computers can address these problems more efficiently. While promising algorithms require fault-tolerant quantum hardware, variational algorithms have emerged as viable candidates for near-term devices. The success of these algorithms hinges on multiple factors, with the design of the ansatz having the utmost importance. It is kno..."
Feedback-based quantum optimization,"Alicia B. Magann, Kenneth M. Rudinger, Matthew D. Grace, Mohan Sarovar",2021-03-15,http://arxiv.org/abs/2103.08619v3,"It is hoped that quantum computers will offer advantages over classical computers for combinatorial optimization. Here, we introduce a feedback-based strategy for quantum optimization, where the results of qubit measurements are used to constructively assign values to quantum circuit parameters. We show that this procedure results in an estimate of the combinatorial optimization problem solution that improves monotonically with the depth of the quantum circuit. Importantly, the measurement-based..."
QuCLEAR: Clifford Extraction and Absorption for Quantum Circuit Optimization,"Ji Liu, Alvin Gonzales, Benchen Huang, Zain Hamid Saleem, Paul Hovland",2024-08-23,http://arxiv.org/abs/2408.13316v2,"Quantum computing carries significant potential for addressing practical problems. However, currently available quantum devices suffer from noisy quantum gates, which degrade the fidelity of executed quantum circuits. Therefore, quantum circuit optimization is crucial for obtaining useful results. In this paper, we present QuCLEAR, a compilation framework designed to optimize quantum circuits. QuCLEAR significantly reduces both the two-qubit gate count and the circuit depth through two novel opt..."
Compact Circuits for Constrained Quantum Evolutions of Sparse Operators,"Franz G. Fuchs, Ruben P. Bassa",2025-04-12,http://arxiv.org/abs/2504.09133v1,"We introduce a general framework for constructing compact quantum circuits that implement the real-time evolution of Hamiltonians of the form $H = \sigma P_B$, where $\sigma$ is a Pauli string commuting with a projection operator $P_B$ onto a subspace of the computational basis. Such Hamiltonians frequently arise in quantum algorithms, including constrained mixers in QAOA, fermionic and excitation operators in VQE, and lattice gauge theory applications. Our method emphasizes the minimization of ..."
Quantum Approximate Optimization Algorithm with Sparsified Phase Operator,"Xiaoyuan Liu, Ruslan Shaydulin, Ilya Safro",2022-04-30,http://arxiv.org/abs/2205.00118v1,"The Quantum Approximate Optimization Algorithm (QAOA) is a promising candidate algorithm for demonstrating quantum advantage in optimization using near-term quantum computers. However, QAOA has high requirements on gate fidelity due to the need to encode the objective function in the phase separating operator, requiring a large number of gates that potentially do not match the hardware connectivity. Using the MaxCut problem as the target, we demonstrate numerically that an easier way to implemen..."
Noisy intermediate-scale quantum computing algorithm for solving an $n$-vertex MaxCut problem with log($n$) qubits,Marko J. Rančić,2021-10-20,http://arxiv.org/abs/2110.10788v3,"Quantum computers are devices, which allow more efficient solutions of problems as compared to their classical counterparts. As the timeline to developing a quantum-error corrected computer is unclear, the quantum computing community has dedicated much attention to developing algorithms for currently available noisy intermediate-scale quantum computers (NISQ). Thus far, within NISQ, optimization problems are one of the most commonly studied and are quite often tackled with the quantum approximat..."
Sampling-based Quantum Optimization Algorithm with Quantum Relaxation,"Hiromichi Matsuyama, Yu Yamashiro",2025-04-17,http://arxiv.org/abs/2504.12629v1,"Variational Quantum Algorithm (VQA) is a hybrid algorithm for noisy quantum devices. However, statistical fluctuations and physical noise degrade the solution quality, so it is difficult to maintain applicability for large-scale problems. In contrast, Sampling-based Quantum Algorithms have recently been successfully applied to large-scale quantum chemistry problems. The quantum device is used only for sampling, and the ground state and its energy are estimated on the classical device. In this st..."
Empirical performance bounds for quantum approximate optimization,"Phillip C. Lotshaw, Travis S. Humble, Rebekah Herrman, James Ostrowski, George Siopsis",2021-02-12,http://arxiv.org/abs/2102.06813v1,"The quantum approximate optimization algorithm (QAOA) is a variational method for noisy, intermediate-scale quantum computers to solve combinatorial optimization problems. Quantifying performance bounds with respect to specific problem instances provides insight into when QAOA may be viable for solving real-world applications. Here, we solve every instance of MaxCut on non-isomorphic unweighted graphs with nine or fewer vertices by numerically simulating the pure-state dynamics of QAOA. Testing ..."
Large-scale Quantum Approximate Optimization via Divide-and-Conquer,"Junde Li, Mahabubul Alam, Swaroop Ghosh",2021-02-26,http://arxiv.org/abs/2102.13288v1,"Quantum Approximate Optimization Algorithm (QAOA) is a promising hybrid quantum-classical algorithm for solving combinatorial optimization problems. However, it cannot overcome qubit limitation for large-scale problems. Furthermore, the execution time of QAOA scales exponentially with the problem size. We propose a Divide-and-Conquer QAOA (DC-QAOA) to address the above challenges for graph maximum cut (MaxCut) problem. The algorithm works by recursively partitioning a larger graph into smaller o..."
Towards Robust Benchmarking of Quantum Optimization Algorithms,"David Bucher, Nico Kraus, Jonas Blenninger, Michael Lachner, Jonas Stein, Claudia Linnhoff-Popien",2024-05-13,http://arxiv.org/abs/2405.07624v1,"Benchmarking the performance of quantum optimization algorithms is crucial for identifying utility for industry-relevant use cases. Benchmarking processes vary between optimization applications and depend on user-specified goals. The heuristic nature of quantum algorithms poses challenges, especially when comparing to classical counterparts. A key problem in existing benchmarking frameworks is the lack of equal effort in optimizing for the best quantum and, respectively, classical approaches. Th..."
Graph decomposition techniques for solving combinatorial optimization problems with variational quantum algorithms,"Moises Ponce, Rebekah Herrman, Phillip C. Lotshaw, Sarah Powers, George Siopsis, Travis Humble, James Ostrowski",2023-06-01,http://arxiv.org/abs/2306.00494v1,"The quantum approximate optimization algorithm (QAOA) has the potential to approximately solve complex combinatorial optimization problems in polynomial time. However, current noisy quantum devices cannot solve large problems due to hardware constraints. In this work, we develop an algorithm that decomposes the QAOA input problem graph into a smaller problem and solves MaxCut using QAOA on the reduced graph. The algorithm requires a subroutine that can be classical or quantum--in this work, we i..."
Parameter Setting in Quantum Approximate Optimization of Weighted Problems,"Shree Hari Sureshbabu, Dylan Herman, Ruslan Shaydulin, Joao Basso, Shouvanik Chakrabarti, Yue Sun, Marco Pistoia",2023-05-24,http://arxiv.org/abs/2305.15201v3,"Quantum Approximate Optimization Algorithm (QAOA) is a leading candidate algorithm for solving combinatorial optimization problems on quantum computers. However, in many cases QAOA requires computationally intensive parameter optimization. The challenge of parameter optimization is particularly acute in the case of weighted problems, for which the eigenvalues of the phase operator are non-integer and the QAOA energy landscape is not periodic. In this work, we develop parameter setting heuristics..."
Performance of the Quantum Approximate Optimization Algorithm on the Maximum Cut Problem,Gavin E. Crooks,2018-11-20,http://arxiv.org/abs/1811.08419v1,"The Quantum Approximate Optimization Algorithm (QAOA) is a promising approach for programming a near-term gate-based hybrid quantum computer to find good approximate solutions of hard combinatorial problems. However, little is currently know about the capabilities of QAOA, or of the difficulty of the requisite parameters optimization. Here, we study the performance of QAOA on the MaxCut combinatorial optimization problem, optimizing the quantum circuits on a classical computer using automatic di..."
Lower bounding the MaxCut of high girth 3-regular graphs using the QAOA,"Edward Farhi, Sam Gutmann, Daniel Ranard, Benjamin Villalonga",2025-03-17,http://arxiv.org/abs/2503.12789v1,"We study MaxCut on 3-regular graphs of minimum girth $g$ for various $g$'s. We obtain new lower bounds on the maximum cut achievable in such graphs by analyzing the Quantum Approximate Optimization Algorithm (QAOA). For $g \geq 16$, at depth $p \geq 7$, the QAOA improves on previously known lower bounds. Our bounds are established through classical numerical analysis of the QAOA's expected performance. This analysis does not produce the actual cuts but establishes their existence. When implement..."
Augmenting QAOA Ansatz with Multiparameter Problem-Independent Layer,"Michelle Chalupnik, Hans Melo, Yuri Alexeev, Alexey Galda",2022-05-02,http://arxiv.org/abs/2205.01192v1,"The quantum approximate optimization algorithm (QAOA) promises to solve classically intractable computational problems in the area of combinatorial optimization. A growing amount of evidence suggests that the originally proposed form of the QAOA ansatz is not optimal, however. To address this problem, we propose an alternative ansatz, which we call QAOA+, that augments the traditional $p = 1$ QAOA ansatz with an additional multiparameter problem-independent layer. The QAOA+ ansatz allows obtaini..."
Multi-angle Quantum Approximate Optimization Algorithm,"Rebekah Herrman, Phillip C. Lotshaw, James Ostrowski, Travis S. Humble, George Siopsis",2021-09-23,http://arxiv.org/abs/2109.11455v1,"The quantum approximate optimization algorithm (QAOA) generates an approximate solution to combinatorial optimization problems using a variational ansatz circuit defined by parameterized layers of quantum evolution. In theory, the approximation improves with increasing ansatz depth but gate noise and circuit complexity undermine performance in practice. Here, we introduce a multi-angle ansatz for QAOA that reduces circuit depth and improves the approximation ratio by increasing the number of cla..."
An Expressive Ansatz for Low-Depth Quantum Approximate Optimisation,"V. Vijendran, Aritra Das, Dax Enshan Koh, Syed M. Assad, Ping Koy Lam",2023-02-09,http://arxiv.org/abs/2302.04479v2,"The quantum approximate optimisation algorithm (QAOA) is a hybrid quantum-classical algorithm used to approximately solve combinatorial optimisation problems. It involves multiple iterations of a parameterised ansatz comprising a problem and mixer Hamiltonian, with the parameters being classically optimised. While QAOA can be implemented on NISQ devices, physical limitations can limit circuit depth and decrease performance. To address these limitations, this work introduces the eXpressive QAOA (..."
